Epoch,Train Loss,Validation Loss,Train f1_micro,Validation f1_micro,Train f1_macro,Validation f1_macro
1,0.005757325978443295,0.004772025697933466,0.053239747839084944,0.0,0.0272149909033333,0.0
2,0.004493418576975095,0.004752363814536301,0.0,0.0,0.0,0.0
3,0.0044418715435762595,0.004727893983267299,0.0,0.0,0.0,0.0
4,0.004418552755154341,0.004715503180360596,0.0,0.0,0.0,0.0
5,0.004411017285171769,0.004709412321921273,0.0,0.0,0.0,0.0
6,0.0044110847409698185,0.004704490050145238,0.0,0.0,0.0,0.0
7,0.0044024497185698305,0.0047023594951304355,0.0,0.0,0.0,0.0
8,0.004402598681946884,0.0046968774749061165,0.0,0.0,0.0,0.0
9,0.004400216721013669,0.004695570591739357,0.0,0.0,0.0,0.0
10,0.004399314316463132,0.004700015909511141,0.0,0.0,0.0,0.0
